id,surah_id,number
1127,3,3.283
1128,3,3.284
1129,3,3.285
1130,3,3.286
1131,3,3.287
1132,3,3.288
1133,3,3.289
1134,3,3.290
1135,3,3.291
1136,3,3.292
1137,3,3.293
1138,3,3.294
1139,3,3.295
1140,3,3.296
1141,3,3.297
1142,3,3.298
1143,3,3.299
1144,3,3.300
1145,3,3.301
1146,4,4.1
1147,4,4.2
1148,4,4.3
1149,4,4.4
1150,4,4.5
1151,4,4.6
1152,4,4.7
1153,4,4.8
1154,4,4.9
1155,4,4.10
1156,4,4.11
1157,4,4.12
1158,4,4.13
1159,4,4.14
1160,4,4.15
1161,4,4.16
1162,4,4.17
1163,4,4.18
1164,4,4.19
1165,4,4.20
1166,4,4.21
1167,4,4.22
1168,4,4.23
1169,4,4.24
1170,4,4.25
1171,4,4.26
1172,4,4.27
1173,4,4.28
1174,4,4.29
1175,4,4.30
1176,4,4.31
1177,4,4.32
1178,4,4.33
1179,4,4.34
1180,4,4.35
1181,4,4.36
1182,4,4.37
1183,4,4.38
1184,4,4.39
1185,4,4.40
1186,4,4.41
1187,4,4.42
1188,4,4.43
1189,4,4.44
1190,4,4.45
1191,4,4.46
1192,4,4.47
1193,4,4.48
1194,4,4.49
1195,4,4.50
1196,4,4.51
1197,4,4.52
1198,4,4.53
1199,4,4.54
1200,4,4.55
1201,4,4.56
1202,4,4.57
1203,4,4.58
1204,4,4.59
1205,4,4.60
1206,4,4.61
1207,4,4.62
1208,4,4.63
1209,4,4.64
1210,4,4.65
1211,4,4.66
1212,4,4.67
1213,4,4.68
1214,4,4.69
1215,4,4.70
1216,4,4.71
1217,4,4.72
1218,4,4.73
1219,4,4.74
1220,4,4.75
1221,4,4.76
1222,4,4.77
1223,4,4.78
1224,4,4.79
1225,4,4.80
1226,4,4.81
1227,4,4.82
1228,4,4.83
1229,4,4.84
1230,4,4.85
1231,4,4.86
1232,4,4.87
1233,4,4.88
1234,4,4.89
1235,4,4.90
1236,4,4.91
1237,4,4.92
1238,4,4.93
1239,4,4.94
1240,4,4.95
1241,4,4.96
1242,4,4.97
1243,4,4.98
1244,4,4.99
1245,4,4.100
1246,4,4.101
1247,4,4.102
1248,4,4.103
1249,4,4.104
1250,4,4.105
1251,4,4.106
1252,4,4.107
1253,4,4.108
1254,4,4.109
1255,4,4.110
1256,4,4.111
1257,4,4.112
1258,4,4.113
1259,4,4.114
1260,4,4.115
1261,4,4.116
1262,4,4.117
1263,4,4.118
1264,4,4.119
1265,4,4.120
1266,4,4.121
1267,4,4.122
1268,4,4.123
1269,4,4.124
1270,4,4.125
1271,4,4.126
1272,4,4.127
1273,4,4.128
1274,4,4.129
1275,4,4.130
1276,4,4.131
1277,4,4.132
1278,4,4.133
1279,4,4.134
1280,4,4.135
1281,4,4.136
1282,4,4.137
1283,4,4.138
1284,4,4.139
1285,4,4.140
1286,4,4.141
1287,4,4.142
1288,4,4.143
1289,4,4.144
1290,4,4.145
1291,4,4.146
1292,4,4.147
1293,4,4.148
1294,4,4.149
1295,4,4.150
1296,4,4.151
1297,4,4.152
1298,4,4.153
1299,4,4.154
1300,4,4.155
1301,4,4.156
1302,4,4.157
1303,4,4.158
1304,4,4.159
1305,4,4.160
1306,4,4.161
1307,4,4.162
1308,4,4.163
1309,4,4.164
1310,4,4.165
1311,4,4.166
1312,4,4.167
1313,4,4.168
1314,4,4.169
1315,4,4.170
1316,4,4.171
1317,4,4.172
1318,4,4.173
1319,4,4.174
1320,4,4.175
1321,4,4.176
1322,4,4.177
1323,4,4.178
1324,4,4.179
1325,4,4.180
1326,4,4.181
1327,4,4.182
1328,4,4.183
1329,4,4.184
1330,4,4.185
1331,4,4.186
1332,4,4.187
1333,4,4.188
1334,4,4.189
1335,4,4.190
1336,4,4.191
1337,4,4.192
1338,4,4.193
1339,4,4.194
1340,4,4.195
1341,4,4.196
1342,4,4.197
1343,4,4.198
1344,4,4.199
1345,4,4.200
1346,4,4.201
1347,4,4.202
1348,4,4.203
1349,4,4.204
1350,4,4.205
1351,4,4.206
1352,4,4.207
1353,4,4.208
1354,4,4.209
1355,4,4.210
1356,4,4.211
1357,4,4.212
1358,4,4.213
1359,4,4.214
1360,4,4.215
1361,4,4.216
1362,4,4.217
1363,4,4.218
1364,4,4.219
1365,4,4.220
1366,4,4.221
1367,4,4.222
1368,4,4.223
1369,4,4.224
1370,4,4.225
1371,4,4.226
1372,4,4.227
1373,4,4.228
1374,4,4.229
1375,4,4.230
1376,4,4.231
1377,4,4.232
1378,4,4.233
1379,4,4.234
1380,4,4.235
1381,4,4.236
1382,4,4.237
1383,4,4.238
1384,4,4.239
1385,4,4.240
1386,4,4.241
1387,4,4.242
1388,4,4.243
1389,4,4.244
1390,4,4.245
1391,4,4.246
1392,4,4.247
1393,4,4.248
1394,4,4.249
1395,4,4.250
1396,4,4.251
1397,4,4.252
1398,4,4.253
1399,4,4.254
1400,4,4.255
1401,4,4.256
1402,4,4.257
1403,4,4.258
1404,4,4.259
1405,4,4.260
1406,4,4.261
1407,4,4.262
1408,4,4.263
1409,4,4.264
1410,4,4.265
1411,4,4.266
1412,4,4.267
1413,4,4.268
1414,4,4.269
1415,4,4.270
1416,4,4.271
1417,4,4.272
1418,4,4.273
1419,4,4.274
1420,4,4.275
1421,4,4.276
1422,4,4.277
1423,4,4.278
1424,4,4.279
1425,4,4.280
1426,4,4.281
1427,4,4.282
1428,4,4.283
1429,4,4.284
1430,4,4.285
1431,4,4.286
1432,4,4.287
1433,4,4.288
1434,4,4.289
1435,4,4.290
1436,4,4.291
1437,4,4.292
1438,4,4.293
1439,4,4.294
1440,4,4.295
1441,4,4.296
1442,4,4.297
1443,4,4.298
1444,4,4.299
1445,4,4.300
1446,4,4.301
1447,4,4.302
1448,5,5.1
1449,5,5.2
1450,5,5.3
1451,5,5.4
1452,5,5.5
1453,5,5.6
1454,5,5.7
1455,5,5.8
1456,5,5.9
1457,5,5.10
1458,5,5.11
1459,5,5.12
1460,5,5.13
1461,5,5.14
1462,5,5.15
1463,5,5.16
1464,5,5.17
1465,5,5.18
1466,5,5.19
1467,5,5.20
1468,5,5.21
1469,5,5.22
1470,5,5.23
1471,5,5.24
1472,5,5.25
1473,5,5.26
1474,5,5.27
1475,5,5.28
1476,5,5.29
1477,5,5.30
1478,5,5.31
1479,5,5.32
1480,5,5.33
1481,5,5.34
1482,5,5.35
1483,5,5.36
1484,5,5.37
1485,5,5.38
1486,5,5.39
1487,5,5.40
1488,5,5.41
1489,5,5.42
1490,5,5.43
1491,5,5.44
1492,5,5.45
1493,5,5.46
1494,5,5.47
1495,5,5.48
1496,5,5.49
1497,5,5.50
1498,5,5.51
1499,5,5.52
1500,5,5.53
1501,5,5.54
1502,5,5.55
1503,5,5.56
1504,5,5.57
1505,5,5.58
1506,5,5.59
1507,5,5.60
1508,5,5.61
1509,5,5.62
1510,5,5.63
1511,5,5.64
1512,5,5.65
1513,5,5.66
1514,5,5.67
1515,5,5.68
1516,5,5.69
1517,5,5.70
1518,5,5.71
1519,5,5.72
1520,5,5.73
1521,5,5.74
1522,5,5.75
1523,5,5.76
1524,5,5.77
1525,5,5.78
1526,5,5.79
1527,5,5.80
1528,5,5.81
1529,5,5.82
1530,5,5.83
1531,5,5.84
1532,5,5.85
1533,5,5.86
1534,5,5.87
1535,5,5.88
1536,5,5.89
1537,5,5.90
1538,5,5.91
1539,5,5.92
1540,5,5.93
1541,5,5.94
1542,5,5.95
1543,5,5.96
1544,5,5.97
1545,5,5.98
1546,5,5.99
1547,5,5.100
1548,5,5.101
1549,5,5.102
1550,5,5.103
1551,5,5.104
1552,5,5.105
1553,5,5.106
1554,5,5.107
1555,5,5.108
1556,5,5.109
1557,5,5.110
1558,5,5.111
1559,5,5.112
1560,5,5.113
1561,5,5.114
1562,5,5.115
1563,5,5.116
1564,5,5.117
1565,5,5.118
1566,5,5.119
1567,5,5.120
1568,5,5.121
1569,5,5.122
1570,5,5.123
1571,5,5.124
1572,5,5.125
1573,5,5.126
1574,5,5.127
1575,5,5.128
1576,5,5.129
1577,5,5.130
1578,5,5.131
1579,5,5.132
1580,5,5.133
1581,5,5.134
1582,5,5.135
1583,5,5.136
1584,5,5.137
1585,5,5.138
1586,5,5.139
1587,5,5.140
1588,5,5.141
1589,5,5.142
1590,5,5.143
1591,5,5.144
1592,5,5.145
1593,5,5.146
1594,5,5.147
1595,5,5.148
1596,5,5.149
1597,5,5.150
1598,5,5.151
1599,5,5.152
1600,5,5.153
1601,5,5.154
1602,5,5.155
1603,5,5.156
1604,5,5.157
1605,5,5.158
1606,5,5.159
1607,5,5.160
1608,5,5.161
1609,5,5.162
1610,5,5.163
1611,5,5.164
1612,5,5.165
1613,5,5.166
1614,5,5.167
1615,5,5.168
1616,5,5.169
1617,5,5.170
1618,5,5.171
1619,5,5.172
1620,5,5.173
1621,5,5.174
1622,5,5.175
1623,5,5.176
1624,5,5.177
1625,5,5.178
1626,5,5.179
1627,5,5.180
1628,5,5.181
1629,5,5.182
1630,5,5.183
1631,5,5.184
1632,5,5.185
1633,5,5.186
1634,5,5.187
1635,5,5.188
1636,5,5.189
1637,5,5.190
1638,5,5.191
1639,5,5.192
1640,5,5.193
1641,5,5.194
1642,5,5.195
1643,5,5.196
1644,5,5.197
1645,5,5.198
1646,5,5.199
1647,5,5.200
1648,5,5.201
1649,5,5.202
1650,5,5.203
1651,5,5.204
1652,5,5.205
1653,5,5.206
1654,5,5.207
1655,5,5.208
1656,5,5.209
1657,5,5.210
1658,5,5.211
1659,5,5.212
1660,5,5.213
1661,5,5.214
1662,5,5.215
